Ranking,Country,Political Context 2022,Economic Context 2022,Legal Framework 2022,Safety Score 2022,Sociocultural Context 2022,Abuse Score 2021,Underlying Situation Score 2021,Global Score 2022,Global Score 2021,Global Score 2020,Global Score 2019
153,Belarus,32.93,48.75,37.23,18.85,60.33,51.06,49.71,39.62,49.71,49.37,50.74
154,Azerbaijan,37.66,23.76,48.25,28.48,58.86,0,43.37,39.4,43.37,43.42,43.42
155,Russia,36.36,34.84,44.61,27,51.29,10.99,78.62,38.82,78.62,76.73,71.36
156,Afghanistan,44.65,43.88,42.54,16.96,43.33,56.7,47.83,38.27,49.35,48.2,48.53
157,Pakistan,39.57,31.92,53.26,17.75,47.43,71.07,61.15,37.99,62.73,62.14,65.88
158,Kuwait,32.73,19.39,36.84,73.41,27,64.91,60.11,37.87,61.1,60.13,61.31
159,Venezuela,33.7,31.73,44.74,31.22,47.5,64.13,54.67,37.78,56.17,56.82,56.47
160,Nicaragua,37.45,38.78,31.75,27.68,49.8,53.33,62.35,37.09,62.35,58.25,61.66
161,Laos,36.06,20.92,31.58,50.64,44,29.44,43.18,36.64,43.18,44.09,44.68
162,Bangladesh,42.12,32.48,44.15,15.88,48.5,82.59,68.11,36.63,70.63,72.57,71.78
163,Oman,32.73,23.98,18.42,59.82,45,64.71,53.57,35.99,55.57,55.37,52.6
164,Djibouti,32.73,16.12,37.72,54.56,37.6,0,63.93,35.75,63.94,63.81,63.81
165,Honduras,33.33,31.63,36.84,40.22,31,68.04,75.18,34.61,78.46,74.71,74.93
166,Saudi Arabia,37.27,33.67,22.37,38.75,36.5,81.77,78.1,33.71,78.72,78.48,78.92
167,Bahrain,35.15,21.43,28.95,29.65,39.67,30.91,46.14,30.97,46.14,44.77,44.92
168,Egypt,30.91,23.47,34.87,17.64,44.25,0,80.03,30.23,80.03,85.44,85.44
169,Yemen,33.03,27.55,38.6,11.54,35,67.39,70.11,29.14,72.7,64.81,64.41
170,Palestine,35.45,15.82,36.4,20.74,36.5,73.05,82.05,28.98,81.45,83.5,80.26
171,Syria,33.51,27.62,33.58,13.39,36.57,51.93,81.28,28.94,81.28,85.82,83.4
172,Iraq,34.14,20.07,29.82,18.27,40.67,17.92,28.87,28.59,28.87,28.94,29.52
173,Cuba,27.27,39.8,15.79,26.24,27.5,0,41.92,27.32,41.92,42.87,47.27
174,Vietnam,32.32,18.71,27.49,17.37,34.67,23.98,38.83,26.11,38.83,36.56,36.04
175,China,27.45,26.02,23.25,15.84,33.3,6.93,30.76,25.17,30.76,30.62,31.35
176,Myanmar,40.4,29.25,20.18,4.63,30.67,0,31.12,25.03,31.12,30.2,29
177,Turkmenistan,25,11.73,29.61,35.69,23,55.21,41.86,25.01,43.94,42.88,43.98
178,Iran,34.14,21.32,26.71,13.61,23.78,0,29.82,23.22,29.82,29.79,29.67
179,Eritrea,22.22,19.73,25.15,11.36,19.67,35.55,43.13,19.62,43.13,42.69,43.63
180,North Korea,22.42,0,22.81,12.38,12,13.86,21.65,13.92,21.59,22.93,22.23
